5434,524;1,011;-2,122;5434,517;0,16
5383,369;4,312;0,645;5383,361;0,166
5415,199;4,386;0,642;5415,192;0,156
5049,82;2,279;-1,355;5049,801;0,135
5367,467;4,415;0,443;5367,455;0,127
5302,302;3,283;-0,72;5302,294;0,131
5302,298;4,913;-3,328;5302,294;0,131
6252,555;2,404;-1,687;6252,558;0,117
5576,089;3,43;-1;5576,081;0,113
6430,846;2,176;-2,006;6430,843;0,106
5014,943;3,943;-0,303;5014,928;0,101
5083,339;0,958;-2,958;5083,317;0,076
5198,711;2,223;-2,135;5198,696;0,085
4924,77;2,279;-2,241;4924,751;0,091
5250,646;2,198;-2,181;5250,642;0,086
5141,739;2,424;-1,964;5141,725;0,083
5930,18;4,652;-0,23;5930,179;0,081
5242,491;3,634;-0,967;5242,489;0,076
6593,87;2,433;-2,422;6593,862;0,073
6232,641;3,654;-1,223;6232,635;0,08
5701,545;2,559;-2,216;5701,539;0,08
5638,262;4,22;-0,87;5638,246;0,07
6322,685;2,588;-2,426;6322,687;0,072
5934,655;3,928;-1,17;5934,655;0,069
5253,462;3,283;-1,573;5253,452;0,072
5473,9;4,154;-0,76;5473,893;0,06
5753,123;4,26;-0,688;5753,098;0,058
5398,279;4,445;-0,67;5398,264;0,065
5365,399;3,573;-1,02;5365,4;0,055
5859,586;4,549;-0,419;5859,583;0,079
5197,577;4,956;-2,078;5197,551;0,069
5633,947;4,991;-0,27;5633,934;0,065
6609,11;2,559;-2,692;6609,112;0,057
5983,68;4,549;-1,468;5983,681;0,051
5373,709;4,473;-0,86;5373,694;0,059
5379,574;3,694;-1,514;5379,562;0,058
5543,936;4,217;-1,14;5543,931;0,06
5717,833;4,284;-1,13;5717,818;0,056
6481,87;2,279;-2,984;6481,856;0,069
5775,081;4,22;-1,298;5775,072;0,057
6157,728;4,076;-1,26;6157,725;0,057
5679,023;4,652;-0,92;5679,015;0,056
5731,762;4,256;-1,3;5731,752;0,054
5250,209;0,121;-4,938;5250,191;0,053
4802,88;3,642;-1,514;4802,875;0,044
5288,525;3,694;-1,508;5288,515;0,054
5247,05;0,087;-4,946;5247,062;0,029
5752,032;4,549;-1,177;5752,021;0,054
5060,079;0;-5,46;5060,039;0,069
5916,247;2,453;-2,994;5916,239;0,038
6380,743;4,186;-1,376;6380,735;0,047
5956,694;0,859;-4,605;5956,715;0,056
5525,544;4,23;-1,084;5525,542;0,044
6151,618;2,176;-3,299;6151,62;0,046
4962,572;4,178;-1,182;4962,548;0,042
5560,212;4,434;-1,19;5560,21;0,047
5618,633;4,209;-1,276;5618,623;0,05
5546,506;4,371;-1,31;5546,495;0,048
6270,225;2,858;-2,464;6270,219;0,047
6187,99;3,943;-1,72;6187,985;0,047
6496,467;4,795;-0,57;6496,448;0,049
6127,907;4,143;-1,399;6127,902;0,047
6726,666;4,607;-1,133;6726,662;0,045
6498,939;0,958;-4,699;6498,929;0,034
6165,36;4,143;-1,474;6165,355;0,044
6597,561;4,795;-1,07;6597,542;0,04
5180,07;4,473;-1,26;5180,044;0,039
5927,789;4,652;-1,09;5927,772;0,032
5522,447;4,209;-1,55;5522,427;0,041
5145,094;2,198;-2,876;5145,084;0,049
6240,646;2,223;-3,233;6240,651;0,045
6416,933;4,796;-1,109;6416,923;0,043
5691,497;4,301;-1,52;5691,499;0,037
5054,643;3,64;-1,921;5054,627;0,037
6633,75;4,558;-0,799;6633,747;0,05
5705,465;4,301;-1,355;5705,45;0,038
6703,567;2,758;-3,16;6703,562;0,035
5538,516;4,218;-3,244;5538,502;0,037
5538,515;3,634;-5,097;5538,505;0,037
5929,677;4,548;-1,41;5929,661;0,029
6533,929;4,558;-1,46;6533,979;0,073
5653,867;4,386;-1,64;5653,849;0,029
6752,707;4,638;-1,204;6752,706;0,033
5417,033;4,415;-1,68;5417,026;0,033
6315,811;4,076;-1,71;6315,811;0,037
5466,988;3,573;-2,233;5466,965;0,03
5856,088;4,294;-1,328;5856,08;0,031
5466,992;3,654;-3,742;5466,965;0,03
6330,85;4,733;-1,74;6330,847;0,031
5386,334;4,154;-1,77;5386,317;0,028
5464,28;4,143;-1,402;5464,268;0,034
5619,595;4,386;-1,7;5619,598;0,027
5741,848;4,256;-1,854;5741,833;0,026
5635,823;4,256;-1,89;5635,82;0,029
5441,339;4,312;-1,73;5441,337;0,028
5293,959;4,143;-1,87;5293,951;0,028
5295,312;4,415;-1,69;5295,307;0,027
5285,129;4,434;-1,64;5285,125;0,027
6226,736;3,883;-2,22;6226,732;0,028
6574,228;0,99;-5,023;6574,217;0,024
5487,145;4,415;-1,53;5487,122;0,028
6627,545;4,548;-1,68;6627,54;0,026
6733,151;4,638;-1,58;6733,147;0,026
5652,318;4,26;-1,95;5652,3;0,022
5223,185;3,635;-1,783;5223,168;0,028
5461,55;4,445;-1,9;5461,532;0,024
5401,269;4,32;-1,92;5401,253;0,025
4869,464;3,546;-2,52;4869,454;0,025
5470,094;4,446;-1,81;5470,083;0,023
6786,86;4,191;-2,07;6786,856;0,025
5855,077;4,608;-1,478;5855,073;0,021
6271,279;3,332;-2,703;6271,281;0,023
5778,453;2,588;-3,43;5778,436;0,019
5778,453;4,154;-3,917;5778,436;0,019
5494,463;4,076;-2,09;5494,483;0,007
5760,345;3,642;-2,49;5760,331;0,023
6713,745;4,795;-1,6;6713,731;0,022
4808,148;3,251;-2,79;4808,134;0,026
5661,346;4,284;-1,736;5661,342;0,02
6581,21;1,485;-4,679;6581,211;0,014
5395,218;4,445;-2,17;5395,21;0,017
5651,469;4,473;-2;5651,463;0,018
6608,026;2,279;-4,03;6608,014;0,014
6725,357;4,103;-2,3;6725,355;0,017
4877,606;2,998;-3,15;4877,582;0,016
5539,28;3,642;-2,66;5539,266;0,016
5636,696;3,64;-2,61;5636,688;0,018
6625,022;1,011;-5,35;6625,005;0,016
5294,548;3,64;-2,86;5294,546;0,013
5902,474;4,593;-1,81;5902,472;0,01
5732,296;4,991;-1,56;5732,297;0,013
6220,784;3,881;-2,46;6220,786;0,014
6556,787;4,796;-1,628;6556,786;0,008
5696,09;4,548;-1,72;5696,039;0,021
5858,778;4,22;-2,26;5858,79;0,01
5412,786;4,434;-1,716;5412,772;0,015
6159,378;4,607;-1,97;6159,365;0,012
5491,832;4,186;-2,188;5491,812;0,01
6739,522;1,557;-4,794;6739,498;0,009
6436,407;4,186;-2,46;6436,431;0,006
