[s],CH2[V]
-4.3295E-02,5.6756966172E-02
-4.3290E-02,6.3202278528E-02
-4.3285E-02,6.1932747306E-02
-4.3280E-02,6.1952278556E-02
-4.3274E-02,5.9354622364E-02
-4.3269E-02,6.1932747306E-02
-4.3264E-02,5.9335091114E-02
-4.3259E-02,6.0643684835E-02
-4.3254E-02,6.5819465969E-02
-4.3249E-02,6.0643684835E-02
-4.3244E-02,5.6776497421E-02
-4.3239E-02,6.3241341027E-02
-4.3233E-02,6.3221809777E-02
-4.3228E-02,6.3202278528E-02
-4.3223E-02,6.3241341027E-02
-4.3218E-02,6.0663216085E-02
-4.3213E-02,5.9335091114E-02
-4.3208E-02,6.1932747306E-02
-4.3203E-02,5.9354622364E-02
-4.3198E-02,6.0643684835E-02
-4.3192E-02,6.4530403498E-02
-4.3187E-02,5.9354622364E-02
-4.3182E-02,5.6776497421E-02
-4.3177E-02,5.9354622364E-02
-4.3172E-02,5.8065559893E-02
-4.3167E-02,5.9335091114E-02
-4.3162E-02,6.7128059690E-02
-4.3157E-02,6.3241341027E-02
-4.3152E-02,6.1932747306E-02
-4.3146E-02,6.3241341027E-02
-4.3141E-02,5.9315559865E-02
-4.3136E-02,6.5819465969E-02
-4.3131E-02,5.5448372451E-02
-4.3126E-02,6.4530403498E-02
-4.3121E-02,6.8436653411E-02
-4.3116E-02,6.8436653411E-02
-4.3111E-02,6.7128059690E-02
-4.3105E-02,6.0663216085E-02
-4.3100E-02,5.9315559865E-02
-4.3095E-02,5.5467903701E-02
-4.3090E-02,6.5799934720E-02
-4.3085E-02,6.1971809805E-02
-4.3080E-02,7.3612434545E-02
-4.3075E-02,7.2303840824E-02
-4.3070E-02,6.3280403526E-02
-4.3064E-02,6.9725715882E-02
-4.3059E-02,7.3592903296E-02
-4.3054E-02,6.9686653383E-02
-4.3049E-02,6.1971809805E-02
-4.3044E-02,6.8397590912E-02
-4.3039E-02,7.1014778353E-02
-4.3034E-02,6.8397590912E-02
-4.3029E-02,6.0663216085E-02
-4.3024E-02,6.0643684835E-02
-4.3018E-02,7.1014778353E-02
-4.3013E-02,7.2323372074E-02
-4.3008E-02,7.6190559487E-02
-4.3003E-02,7.3631965795E-02
-4.2998E-02,7.6190559487E-02
-4.2993E-02,7.3612434545E-02
-4.2988E-02,6.3241341027E-02
-4.2983E-02,7.2284309575E-02
-4.2977E-02,7.4921028266E-02
-4.2972E-02,6.8417122161E-02
-4.2967E-02,7.0995247104E-02
-4.2962E-02,7.6210090737E-02
