[s],CH2[V]
-4.3295E-02,1.3550933759E+00
-4.3290E-02,1.3209125018E+00
-4.3285E-02,1.3449005098E+00
-4.3280E-02,1.3862077865E+00
-4.3274E-02,1.3728708423E+00
-4.3269E-02,1.4013322169E+00
-4.3264E-02,1.3974240596E+00
-4.3259E-02,1.4232742454E+00
-4.3254E-02,1.3798070537E+00
-4.3249E-02,1.4100011353E+00
-4.3244E-02,1.3973916824E+00
-4.3239E-02,1.3780543911E+00
-4.3233E-02,1.3738473666E+00
-4.3228E-02,1.3681556334E+00
-4.3223E-02,1.3504893177E+00
-4.3218E-02,1.3082617834E+00
-4.3213E-02,1.3186896063E+00
-4.3208E-02,1.2608039226E+00
-4.3203E-02,1.2683187950E+00
-4.3198E-02,1.2145361090E+00
-4.3192E-02,1.1045389295E+00
-4.3187E-02,1.0213728996E+00
-4.3182E-02,9.3403033407E-01
-4.3177E-02,8.9421046497E-01
-4.3172E-02,8.3934145336E-01
-4.3167E-02,7.0146894172E-01
-4.3162E-02,5.8257526380E-01
-4.3157E-02,5.0201791449E-01
-4.3152E-02,4.2111410008E-01
-4.3146E-02,3.9276790549E-01
-4.3141E-02,3.7998580414E-01
-4.3136E-02,3.4208341165E-01
-4.3131E-02,3.1880424118E-01
-4.3126E-02,3.2325884905E-01
-4.3121E-02,3.0752313735E-01
-4.3116E-02,3.1103660696E-01
-4.3111E-02,2.7026908602E-01
-4.3105E-02,2.7301778991E-01
-4.3100E-02,2.7341391760E-01
-4.3095E-02,2.5428854705E-01
-4.3090E-02,2.4194871693E-01
-4.3085E-02,2.3632363122E-01
-4.3080E-02,2.3312411118E-01
-4.3075E-02,2.1277159546E-01
-4.3070E-02,1.6004405472E-01
-4.3064E-02,1.1868766851E-01
-4.3059E-02,9.9682909142E-02
-4.3054E-02,9.6299253669E-02
-4.3049E-02,8.6112081007E-02
-4.3044E-02,8.4544674388E-02
-4.3039E-02,8.4448524946E-02
-4.3034E-02,7.3609287021E-02
-4.3029E-02,6.7158920191E-02
-4.3024E-02,6.3399345385E-02
-4.3018E-02,6.5920044830E-02
-4.3013E-02,5.1663501036E-02
-4.3008E-02,5.0611946379E-02
-4.3003E-02,4.2008388031E-02
-4.2998E-02,4.8340284672E-02
-4.2993E-02,3.6711223233E-02
-4.2988E-02,4.3733189056E-02
-4.2983E-02,4.3568146183E-02
-4.2977E-02,3.5150411271E-02
-4.2972E-02,3.8977835235E-02
-4.2967E-02,3.5599830283E-02
-4.2962E-02,3.1108534568E-02
-4.2957E-02,3.0112078444E-02
-4.2952E-02,2.7506902531E-02
-4.2947E-02,2.7772028753E-02
-4.2942E-02,2.9480831892E-02
-4.2936E-02,2.6704390380E-02
-4.2931E-02,2.5727246160E-02
-4.2926E-02,2.3666756552E-02
-4.2921E-02,2.3803241648E-02
-4.2916E-02,2.3442123340E-02
-4.2911E-02,2.4529593370E-02
-4.2906E-02,2.3656089705E-02
-4.2901E-02,2.1868989906E-02
-4.2896E-02,2.3535273477E-02
-4.2890E-02,2.3528292581E-02
-4.2885E-02,2.3638832968E-02
-4.2880E-02,2.1196196533E-02
-4.2875E-02,2.2262671424E-02
-4.2870E-02,2.1357233975E-02
-4.2865E-02,1.9978955273E-02
-4.2860E-02,2.1423719378E-02
-4.2855E-02,2.0224364279E-02
-4.2849E-02,2.1440747233E-02
-4.2844E-02,2.0980818730E-02
-4.2839E-02,2.0791886316E-02
-4.2834E-02,1.9391448992E-02
-4.2829E-02,2.0481465333E-02
-4.2824E-02,1.9817717560E-02
-4.2819E-02,2.1095359782E-02
-4.2814E-02,2.2877924859E-02
-4.2808E-02,2.0025551799E-02
-4.2803E-02,1.9826157578E-02
-4.2798E-02,1.9790990838E-02
-4.2793E-02,2.2340891790E-02
-4.2788E-02,2.1355603192E-02
-4.2783E-02,2.2050741154E-02
-4.2778E-02,2.1182620980E-02
-4.2773E-02,2.1866586647E-02
-4.2768E-02,2.1780670130E-02
-4.2762E-02,2.3670061033E-02
-4.2757E-02,2.8301194009E-02
-4.2752E-02,2.4372027303E-02
-4.2747E-02,2.3663976591E-02
-4.2742E-02,2.8421414191E-02
-4.2737E-02,3.5830299981E-02
-4.2732E-02,2.8514259152E-02
-4.2727E-02,3.4751041086E-02
-4.2721E-02,3.6341779347E-02
-4.2716E-02,3.3376486483E-02
-4.2711E-02,4.3072288001E-02
-4.2706E-02,4.1900708666E-02
-4.2701E-02,3.3353140536E-02
-4.2696E-02,5.2641312827E-02
-4.2691E-02,5.5065676863E-02
-4.2686E-02,5.2940437538E-02
-4.2680E-02,5.1876084573E-02
-4.2675E-02,5.9442269401E-02
-4.2670E-02,5.5340277839E-02
-4.2665E-02,6.5133072802E-02
-4.2660E-02,7.2482477926E-02
-4.2655E-02,8.4457746976E-02
-4.2650E-02,7.8253432883E-02
-4.2645E-02,7.4645058368E-02
-4.2640E-02,7.0552121944E-02
-4.2634E-02,9.2587081244E-02
-4.2629E-02,8.9219929105E-02
-4.2624E-02,1.0881445973E-01
-4.2619E-02,8.0182482332E-02
-4.2614E-02,7.9469353304E-02
-4.2609E-02,7.8300649297E-02
-4.2604E-02,7.9876281357E-02
-4.2599E-02,1.0286757094E-01
-4.2593E-02,1.0010948765E-01
-4.2588E-02,8.7273384502E-02
-4.2583E-02,8.3316422958E-02
-4.2578E-02,7.9192344300E-02
-4.2573E-02,9.4537717111E-02
-4.2568E-02,9.1602765394E-02
-4.2563E-02,9.3011270802E-02
-4.2558E-02,8.5167457081E-02
-4.2552E-02,7.6057349863E-02
-4.2547E-02,7.9380199063E-02
-4.2542E-02,7.7061783473E-02
-4.2537E-02,8.3125034832E-02
-4.2532E-02,9.2628608991E-02
-4.2527E-02,6.7166125201E-02
-4.2522E-02,7.7686459209E-02
-4.2517E-02,7.1103073889E-02
-4.2512E-02,5.9241163334E-02
-4.2506E-02,6.6316821021E-02
-4.2501E-02,6.6909033684E-02
-4.2496E-02,6.0013038698E-02
-4.2491E-02,5.6054041060E-02
-4.2486E-02,5.4224178507E-02
-4.2481E-02,4.8560068450E-02
-4.2476E-02,5.4363667677E-02
-4.2471E-02,5.4505998798E-02
-4.2465E-02,5.6781561033E-02
-4.2460E-02,4.5980965991E-02
-4.2455E-02,4.3944590037E-02
-4.2450E-02,4.9068982432E-02
-4.2445E-02,4.1185824878E-02
-4.2440E-02,4.2807133169E-02
-4.2435E-02,4.4007465783E-02
-4.2430E-02,4.4241812168E-02
-4.2424E-02,6.3133346551E-02
-4.2419E-02,5.0846984178E-02
-4.2414E-02,5.7629339335E-02
-4.2409E-02,4.6106755631E-02
-4.2404E-02,5.8483492949E-02
-4.2399E-02,5.5393564391E-02
-4.2394E-02,6.2054216402E-02
-4.2389E-02,5.6942011965E-02
-4.2384E-02,5.6270835070E-02
-4.2378E-02,6.2983934399E-02
-4.2373E-02,6.1904747030E-02
-4.2368E-02,7.3472944976E-02
-4.2363E-02,6.2400609980E-02
-4.2358E-02,7.0694100204E-02
-4.2353E-02,8.3781835088E-02
-4.2348E-02,8.0807272509E-02
-4.2343E-02,6.8200137018E-02
-4.2337E-02,8.7996302996E-02
-4.2332E-02,8.6423441360E-02
-4.2327E-02,8.0045482251E-02
-4.2322E-02,1.0134194002E-01
-4.2317E-02,7.7216631568E-02
-4.2312E-02,1.0196630104E-01
-4.2307E-02,1.0632920836E-01
-4.2302E-02,9.3825927995E-02
-4.2297E-02,1.0787717909E-01
-4.2291E-02,7.9098006839E-02
-4.2286E-02,9.1429115610E-02
-4.2281E-02,8.7073260719E-02
-4.2276E-02,9.7088075826E-02
-4.2271E-02,9.9233227870E-02
-4.2266E-02,9.7004300307E-02
-4.2261E-02,9.1287065824E-02
-4.2256E-02,1.0959249583E-01
-4.2250E-02,1.1631244731E-01
-4.2245E-02,1.0460764982E-01
-4.2240E-02,1.1840182371E-01
-4.2235E-02,1.3453342945E-01
-4.2230E-02,1.1351782399E-01
-4.2225E-02,1.3854974768E-01
-4.2220E-02,1.2971841377E-01
-4.2215E-02,9.9854694493E-02
-4.2209E-02,1.2764255093E-01
-4.2204E-02,1.2761537598E-01
-4.2199E-02,1.3872342608E-01
-4.2194E-02,1.2182416021E-01
-4.2189E-02,1.5957443212E-01
-4.2184E-02,1.3217834032E-01
-4.2179E-02,1.3465986282E-01
-4.2174E-02,1.3284580742E-01
-4.2169E-02,1.3201765097E-01
-4.2163E-02,1.1587912632E-01
-4.2158E-02,1.3057814637E-01
-4.2153E-02,1.2602482845E-01
-4.2148E-02,1.2159815371E-01
-4.2143E-02,1.1585625244E-01
-4.2138E-02,1.3388398202E-01
-4.2133E-02,1.1839475221E-01
-4.2128E-02,1.3270186936E-01
-4.2122E-02,1.2820303485E-01
-4.2117E-02,1.3046436349E-01
-4.2112E-02,1.2786314056E-01
-4.2107E-02,1.2308730658E-01
-4.2102E-02,1.2460904651E-01
-4.2097E-02,1.2587719967E-01
-4.2092E-02,1.1772068569E-01
-4.2087E-02,1.2041593614E-01
-4.2081E-02,1.0240325076E-01
-4.2076E-02,1.0340534310E-01
-4.2071E-02,1.0609812831E-01
-4.2066E-02,1.0501170255E-01
-4.2061E-02,1.1030955399E-01
-4.2056E-02,1.0233643634E-01
-4.2051E-02,1.0266373736E-01
-4.2046E-02,9.1066161478E-02
-4.2041E-02,9.2450391107E-02
-4.2035E-02,8.7633115214E-02
-4.2030E-02,8.9565316556E-02
-4.2025E-02,7.9798766711E-02
-4.2020E-02,9.9539209499E-02
-4.2015E-02,8.4480716222E-02
-4.2010E-02,8.5091806868E-02
-4.2005E-02,8.3013068702E-02
-4.2000E-02,8.3073212171E-02
-4.1994E-02,7.0541812724E-02
-4.1989E-02,7.6024700824E-02
-4.1984E-02,8.6143647627E-02
-4.1979E-02,9.0828887314E-02
-4.1974E-02,6.8046280744E-02
-4.1969E-02,6.8776261197E-02
-4.1964E-02,7.1242539218E-02
-4.1959E-02,6.8616220345E-02
-4.1953E-02,7.1171838574E-02
-4.1948E-02,7.7095119158E-02
-4.1943E-02,6.6487790980E-02
-4.1938E-02,6.4913880302E-02
-4.1933E-02,7.1124035650E-02
-4.1928E-02,6.0733806657E-02
-4.1923E-02,6.5330783788E-02
-4.1918E-02,6.1028658907E-02
-4.1913E-02,6.4832765535E-02
-4.1907E-02,5.4373066138E-02
-4.1902E-02,5.0583221709E-02
-4.1897E-02,6.5474073351E-02
-4.1892E-02,6.6905586152E-02
-4.1887E-02,6.0858814284E-02
-4.1882E-02,5.3641473976E-02
-4.1877E-02,5.5018179115E-02
-4.1872E-02,5.2424437756E-02
-4.1866E-02,5.1697151433E-02
-4.1861E-02,5.6482965611E-02
-4.1856E-02,5.1558797135E-02
-4.1851E-02,5.4005052764E-02
-4.1846E-02,6.2532097823E-02
-4.1841E-02,5.2369034047E-02
-4.1836E-02,4.9660546597E-02
-4.1831E-02,5.5880105174E-02
-4.1825E-02,5.2269103286E-02
-4.1820E-02,5.6179291874E-02
