[s],CH2[V]
-2.6995E-02,1.3579309611E-02
-2.6990E-02,1.4794366957E-02
-2.6985E-02,1.4044950622E-02
-2.6980E-02,1.4853742718E-02
-2.6974E-02,1.4318059098E-02
-2.6969E-02,1.4730980995E-02
-2.6964E-02,1.5567939861E-02
-2.6959E-02,1.5821545698E-02
-2.6954E-02,1.5292518725E-02
-2.6949E-02,1.5314381708E-02
-2.6944E-02,1.4341929566E-02
-2.6939E-02,1.3579309611E-02
-2.6933E-02,1.5008571740E-02
-2.6928E-02,1.4813116193E-02
-2.6923E-02,1.4346326004E-02
-2.6918E-02,1.4352262627E-02
-2.6913E-02,1.5678799730E-02
-2.6908E-02,1.4818862081E-02
-2.6903E-02,1.5291622271E-02
-2.6898E-02,1.5345934022E-02
-2.6892E-02,1.5643723589E-02
-2.6887E-02,1.5793388464E-02
-2.6882E-02,1.4618428354E-02
-2.6877E-02,1.5509570226E-02
-2.6872E-02,1.4512994893E-02
-2.6867E-02,1.5305274118E-02
-2.6862E-02,1.5486567602E-02
-2.6857E-02,1.4287150514E-02
-2.6852E-02,1.5855749227E-02
-2.6846E-02,1.5300829996E-02
-2.6841E-02,1.5007293817E-02
-2.6836E-02,1.5824053861E-02
-2.6831E-02,1.6545761189E-02
-2.6826E-02,1.6426156128E-02
-2.6821E-02,1.4516547329E-02
-2.6816E-02,1.5278132548E-02
-2.6811E-02,1.5259659877E-02
-2.6805E-02,1.5783236602E-02
-2.6800E-02,1.5431078063E-02
-2.6795E-02,1.6102121444E-02
-2.6790E-02,1.5326545824E-02
-2.6785E-02,1.5305274118E-02
-2.6780E-02,1.5569456203E-02
-2.6775E-02,1.6930249287E-02
-2.6770E-02,1.4819071889E-02
-2.6764E-02,1.5588639362E-02
-2.6759E-02,1.4502738126E-02
-2.6754E-02,1.4611833697E-02
-2.6749E-02,1.6981142115E-02
-2.6744E-02,1.6089342208E-02
-2.6739E-02,1.5612309558E-02
-2.6734E-02,1.5806983092E-02
-2.6729E-02,1.6072805496E-02
-2.6724E-02,1.6296914187E-02
-2.6718E-02,1.5586002452E-02
-2.6713E-02,1.6845243528E-02
-2.6708E-02,1.6323817339E-02
-2.6703E-02,1.7192285604E-02
-2.6698E-02,1.6079347702E-02
-2.6693E-02,1.6539500318E-02
-2.6688E-02,1.5869715787E-02
-2.6683E-02,1.7935417225E-02
-2.6677E-02,1.6913965298E-02
