[s],CH2[V]
-2.9395E-02,2.9675995111E-02
-2.9390E-02,3.0329109416E-02
-2.9385E-02,3.0713287569E-02
-2.9380E-02,2.9813104865E-02
-2.9374E-02,2.9288631686E-02
-2.9369E-02,3.0203710783E-02
-2.9364E-02,3.2517963584E-02
-2.9359E-02,3.0030523531E-02
-2.9354E-02,3.0581451634E-02
-2.9349E-02,3.1618829922E-02
-2.9344E-02,2.9905611271E-02
-2.9339E-02,3.2187963668E-02
-2.9333E-02,3.1119924751E-02
-2.9328E-02,2.9134784949E-02
-2.9323E-02,3.1603637891E-02
-2.9318E-02,2.8685718797E-02
-2.9313E-02,2.9345289476E-02
-2.9308E-02,3.1076437203E-02
-2.9303E-02,2.9927326435E-02
-2.9298E-02,3.1986604877E-02
-2.9292E-02,3.1570297437E-02
-2.9287E-02,2.9302908190E-02
-2.9282E-02,2.9338375337E-02
-2.9277E-02,3.1124387947E-02
-2.9272E-02,3.1290346348E-02
-2.9267E-02,3.1193081106E-02
-2.9262E-02,3.3961673879E-02
-2.9257E-02,2.9087730659E-02
-2.9252E-02,3.2683855228E-02
-2.9246E-02,3.2850910354E-02
-2.9241E-02,2.8942590968E-02
-2.9236E-02,3.0845028136E-02
-2.9231E-02,3.3072067423E-02
-2.9226E-02,3.2816339661E-02
-2.9221E-02,3.2008024402E-02
-2.9216E-02,3.1362911425E-02
-2.9211E-02,3.2399994074E-02
-2.9205E-02,3.2552972968E-02
-2.9200E-02,3.2811151673E-02
-2.9195E-02,3.2494293388E-02
-2.9190E-02,3.1026455134E-02
-2.9185E-02,3.2433963952E-02
-2.9180E-02,3.3901353980E-02
-2.9175E-02,3.2664123707E-02
-2.9170E-02,3.2297865094E-02
-2.9164E-02,3.3336731114E-02
-2.9159E-02,3.2784954240E-02
-2.9154E-02,3.0618129947E-02
-2.9149E-02,3.2458444771E-02
-2.9144E-02,3.2491422829E-02
-2.9139E-02,3.3046251460E-02
-2.9134E-02,3.4732185489E-02
-2.9129E-02,3.1226631368E-02
-2.9124E-02,3.4081607958E-02
-2.9118E-02,3.2365804850E-02
