[s],CH2[V]
-4.3295E-02,1.1732710947E-01
-4.3290E-02,1.3063096126E-01
-4.3285E-02,7.8413631490E-02
-4.3280E-02,8.4280807415E-02
-4.3274E-02,7.9876911181E-02
-4.3269E-02,9.0262500549E-02
-4.3264E-02,1.0361806055E-01
-4.3259E-02,9.1502410647E-02
-4.3254E-02,6.4560482385E-02
-4.3249E-02,9.3003741942E-02
-4.3244E-02,6.8766453055E-02
-4.3239E-02,1.0771666657E-01
-4.3233E-02,6.6273605669E-02
-4.3228E-02,6.3544685747E-02
-4.3223E-02,9.0080978183E-02
-4.3218E-02,8.0610115053E-02
-4.3213E-02,7.2658283413E-02
-4.3208E-02,7.9496242550E-02
-4.3203E-02,6.3232166680E-02
-4.3198E-02,6.7079155272E-02
-4.3192E-02,8.2363445244E-02
-4.3187E-02,9.2899467195E-02
-4.3182E-02,7.6129142863E-02
-4.3177E-02,6.4036934271E-02
-4.3172E-02,7.1477730003E-02
-4.3167E-02,6.3334419638E-02
-4.3162E-02,6.3458282856E-02
-4.3157E-02,6.0156528932E-02
-4.3152E-02,7.0559570539E-02
-4.3146E-02,6.6581508951E-02
-4.3141E-02,6.2355892591E-02
-4.3136E-02,7.1331836909E-02
-4.3131E-02,5.7741119897E-02
-4.3126E-02,6.5516273837E-02
-4.3121E-02,6.3570892716E-02
-4.3116E-02,5.3129513403E-02
-4.3111E-02,7.0258114094E-02
-4.3105E-02,7.0459816207E-02
-4.3100E-02,6.0401966548E-02
-4.3095E-02,7.3287117170E-02
-4.3090E-02,7.1801254471E-02
-4.3085E-02,6.6829635930E-02
-4.3080E-02,5.5321343035E-02
-4.3075E-02,6.4247600923E-02
-4.3070E-02,6.8473655973E-02
-4.3064E-02,4.6538174439E-02
-4.3059E-02,6.2919876495E-02
-4.3054E-02,6.1580212066E-02
-4.3049E-02,5.6256992886E-02
-4.3044E-02,6.3672020339E-02
-4.3039E-02,6.2531368661E-02
-4.3034E-02,6.4334022887E-02
-4.3029E-02,6.9898502591E-02
-4.3024E-02,6.8388492859E-02
-4.3018E-02,5.7598373929E-02
-4.3013E-02,5.8855202209E-02
-4.3008E-02,5.9461376664E-02
-4.3003E-02,6.1484672975E-02
-4.2998E-02,5.9373505115E-02
-4.2993E-02,6.4476845150E-02
-4.2988E-02,6.7246181788E-02
-4.2983E-02,6.3324692160E-02
-4.2977E-02,5.9613544935E-02
-4.2972E-02,6.1286213355E-02
-4.2967E-02,5.3834164266E-02
-4.2962E-02,5.8115952042E-02
-4.2957E-02,6.2967922606E-02
-4.2952E-02,4.6012986004E-02
-4.2947E-02,5.9427597521E-02
-4.2942E-02,4.5487110924E-02
-4.2936E-02,5.5523064222E-02
-4.2931E-02,4.6781094355E-02
-4.2926E-02,5.0053913801E-02
-4.2921E-02,5.4917500118E-02
-4.2916E-02,6.0615093680E-02
-4.2911E-02,5.0251496041E-02
-4.2906E-02,5.5718643746E-02
-4.2901E-02,5.6668961108E-02
-4.2896E-02,5.4211895581E-02
-4.2890E-02,5.9186241630E-02
-4.2885E-02,5.6272156307E-02
-4.2880E-02,5.7658855953E-02
-4.2875E-02,5.4717552765E-02
-4.2870E-02,5.3638584741E-02
-4.2865E-02,5.5359604448E-02
-4.2860E-02,5.7027180247E-02
-4.2855E-02,5.5882904607E-02
-4.2849E-02,4.9405091031E-02
-4.2844E-02,5.1269562425E-02
-4.2839E-02,5.7608788052E-02
-4.2834E-02,5.2201359432E-02
-4.2829E-02,4.6975128927E-02
-4.2824E-02,4.8385365254E-02
-4.2819E-02,5.0591595368E-02
-4.2814E-02,5.7071716836E-02
-4.2808E-02,5.0559208589E-02
-4.2803E-02,4.7659027838E-02
-4.2798E-02,4.7461083201E-02
-4.2793E-02,4.9771149372E-02
-4.2788E-02,4.6529476929E-02
-4.2783E-02,4.9611065605E-02
-4.2778E-02,4.6678803250E-02
-4.2773E-02,4.0167649221E-02
-4.2768E-02,4.7157337938E-02
-4.2762E-02,5.2501423512E-02
-4.2757E-02,4.9287235962E-02
-4.2752E-02,5.0775368405E-02
-4.2747E-02,4.6410401156E-02
-4.2742E-02,4.9999516219E-02
-4.2737E-02,4.3513138648E-02
-4.2732E-02,5.1947624849E-02
-4.2727E-02,5.0063774793E-02
-4.2721E-02,4.6188767250E-02
-4.2716E-02,4.9404461606E-02
-4.2711E-02,4.7264817031E-02
-4.2706E-02,4.6107495127E-02
-4.2701E-02,4.6725495144E-02
-4.2696E-02,5.2726776748E-02
-4.2691E-02,4.6363423161E-02
-4.2686E-02,4.6462986757E-02
-4.2680E-02,4.9189999330E-02
-4.2675E-02,4.7343094617E-02
-4.2670E-02,4.9886543962E-02
-4.2665E-02,4.6772778315E-02
-4.2660E-02,4.2535317320E-02
-4.2655E-02,4.6498329927E-02
-4.2650E-02,4.3070347673E-02
-4.2645E-02,4.6964333334E-02
-4.2640E-02,4.4049599512E-02
-4.2634E-02,4.1816323195E-02
-4.2629E-02,4.7387745648E-02
-4.2624E-02,4.4241402487E-02
-4.2619E-02,4.1055233887E-02
-4.2614E-02,4.1205685544E-02
-4.2609E-02,4.2206471349E-02
-4.2604E-02,4.5486424279E-02
-4.2599E-02,4.2219155217E-02
-4.2593E-02,4.5319550351E-02
-4.2588E-02,4.2417633912E-02
-4.2583E-02,3.9639695131E-02
-4.2578E-02,3.8602745997E-02
-4.2573E-02,3.8224232669E-02
-4.2568E-02,4.1955216320E-02
-4.2563E-02,4.7555821205E-02
-4.2558E-02,4.5986817182E-02
-4.2552E-02,4.4270470479E-02
-4.2547E-02,4.4656422466E-02
-4.2542E-02,4.0934441501E-02
-4.2537E-02,4.0311882921E-02
-4.2532E-02,4.1980297954E-02
-4.2527E-02,3.8268425936E-02
-4.2522E-02,4.2918370137E-02
-4.2517E-02,4.4262841085E-02
-4.2512E-02,4.2172215369E-02
-4.2506E-02,4.1831162367E-02
-4.2501E-02,4.8056576504E-02
-4.2496E-02,4.8219692956E-02
-4.2491E-02,4.4797737923E-02
-4.2486E-02,3.9535897221E-02
-4.2481E-02,4.3389199137E-02
-4.2476E-02,4.3790448060E-02
-4.2471E-02,4.0382779068E-02
-4.2465E-02,4.0631325663E-02
-4.2460E-02,4.1067097596E-02
-4.2455E-02,4.0049031212E-02
-4.2450E-02,4.0426323837E-02
-4.2445E-02,3.5827706386E-02
-4.2440E-02,4.0892727787E-02
-4.2435E-02,3.9440758673E-02
-4.2430E-02,3.7033646605E-02
-4.2424E-02,4.0135567618E-02
-4.2419E-02,4.4446385240E-02
-4.2414E-02,4.1071503571E-02
-4.2409E-02,3.8574383723E-02
-4.2404E-02,3.6658318550E-02
-4.2399E-02,4.5612156698E-02
-4.2394E-02,4.4520695541E-02
-4.2389E-02,3.7146218319E-02
-4.2384E-02,4.2974255451E-02
-4.2378E-02,4.4384663439E-02
-4.2373E-02,4.7775624057E-02
-4.2368E-02,3.7123864194E-02
-4.2363E-02,4.1143048216E-02
-4.2358E-02,4.3098557358E-02
-4.2353E-02,4.0097039176E-02
-4.2348E-02,4.1059372834E-02
-4.2343E-02,4.0201714467E-02
-4.2337E-02,4.0391476578E-02
-4.2332E-02,4.3576195592E-02
-4.2327E-02,4.3895237791E-02
-4.2322E-02,3.8952076891E-02
-4.2317E-02,4.1651242175E-02
-4.2312E-02,3.7647030838E-02
-4.2307E-02,4.1483242911E-02
-4.2302E-02,4.2993595966E-02
-4.2297E-02,4.0406239456E-02
-4.2291E-02,4.3340332866E-02
-4.2286E-02,4.0714371621E-02
-4.2281E-02,3.9415963141E-02
-4.2276E-02,4.4516098831E-02
-4.2271E-02,4.3952820645E-02
-4.2266E-02,4.4472973679E-02
-4.2261E-02,4.1346314356E-02
-4.2256E-02,4.5135262330E-02
-4.2250E-02,3.8299859040E-02
-4.2245E-02,4.5096733888E-02
-4.2240E-02,3.9999535516E-02
-4.2235E-02,4.2899830709E-02
-4.2230E-02,4.8282902488E-02
-4.2225E-02,4.6244042212E-02
-4.2220E-02,4.0642464579E-02
-4.2215E-02,4.0104706717E-02
-4.2209E-02,4.4382603503E-02
-4.2204E-02,4.1429360313E-02
-4.2199E-02,4.0076115562E-02
-4.2194E-02,4.5200035888E-02
-4.2189E-02,3.8957512834E-02
-4.2184E-02,4.2000916392E-02
-4.2179E-02,3.9562886203E-02
-4.2174E-02,4.8946488136E-02
-4.2169E-02,4.3006508715E-02
-4.2163E-02,4.5711586780E-02
-4.2158E-02,4.1564228932E-02
-4.2153E-02,4.3871186125E-02
-4.2148E-02,4.1551258962E-02
-4.2143E-02,4.5337879971E-02
-4.2138E-02,4.3125431900E-02
-4.2133E-02,3.8025811195E-02
-4.2128E-02,4.1478875083E-02
-4.2122E-02,4.7877152222E-02
-4.2117E-02,4.3467800972E-02
-4.2112E-02,4.6568024444E-02
-4.2107E-02,4.4743874399E-02
-4.2102E-02,4.1056893281E-02
-4.2097E-02,4.5972836316E-02
-4.2092E-02,4.4804509011E-02
-4.2087E-02,4.3613808507E-02
-4.2081E-02,4.2159417060E-02
-4.2076E-02,4.4443466996E-02
-4.2071E-02,4.6968300619E-02
-4.2066E-02,4.1993115336E-02
-4.2061E-02,4.2904370198E-02
-4.2056E-02,4.2794697655E-02
-4.2051E-02,4.1963208110E-02
-4.2046E-02,3.8987877824E-02
-4.2041E-02,4.5082981905E-02
-4.2035E-02,4.4319432118E-02
-4.2030E-02,4.3802845825E-02
-4.2025E-02,4.1470559043E-02
-4.2020E-02,4.5474694085E-02
-4.2015E-02,4.2568810361E-02
-4.2010E-02,4.7550575997E-02
-4.2005E-02,4.4831917610E-02
-4.2000E-02,4.3638794773E-02
-4.1994E-02,4.4824135628E-02
-4.1989E-02,4.1699612535E-02
-4.1984E-02,4.1443055076E-02
-4.1979E-02,4.8777420757E-02
-4.1974E-02,4.2344830416E-02
-4.1969E-02,4.6805146021E-02
-4.1964E-02,4.0944054538E-02
-4.1959E-02,4.2020962625E-02
-4.1953E-02,4.7833912630E-02
-4.1948E-02,5.3199303287E-02
-4.1943E-02,4.5841267411E-02
-4.1938E-02,4.1706440843E-02
-4.1933E-02,4.4997074925E-02
-4.1928E-02,4.6881935875E-02
-4.1923E-02,4.6088078318E-02
-4.1918E-02,4.0983746462E-02
-4.1913E-02,4.9250614869E-02
-4.1907E-02,5.0370362005E-02
-4.1902E-02,4.5353749111E-02
-4.1897E-02,4.4250996450E-02
-4.1892E-02,4.9700634695E-02
-4.1887E-02,4.6501381684E-02
-4.1882E-02,4.7780659457E-02
-4.1877E-02,5.0796292019E-02
-4.1872E-02,4.9614517906E-02
-4.1866E-02,4.7444527415E-02
-4.1861E-02,4.8246987114E-02
-4.1856E-02,5.3951218249E-02
-4.1851E-02,5.1259148302E-02
-4.1846E-02,6.1232769447E-02
-4.1841E-02,5.9786751260E-02
-4.1836E-02,5.8402817270E-02
-4.1831E-02,8.3837444235E-02
-4.1825E-02,6.7397911369E-02
-4.1820E-02,1.0014493136E-01
-4.1815E-02,9.3004543029E-02
-4.1810E-02,9.4588653253E-02
-4.1805E-02,1.1497897262E-01
-4.1800E-02,1.1909176931E-01
-4.1795E-02,1.3246258811E-01
-4.1790E-02,1.1455273743E-01
-4.1785E-02,1.8933037706E-01
-4.1779E-02,2.0255547442E-01
-4.1774E-02,2.4863867575E-01
-4.1769E-02,3.0787373226E-01
-4.1764E-02,3.4622334077E-01
-4.1759E-02,4.6846414844E-01
-4.1754E-02,4.3162054422E-01
-4.1749E-02,4.7951462045E-01
-4.1744E-02,5.4241949194E-01
-4.1738E-02,6.4125177275E-01
-4.1733E-02,6.7174966635E-01
-4.1728E-02,6.4863921994E-01
-4.1723E-02,6.5497444014E-01
-4.1718E-02,6.6425674278E-01
-4.1713E-02,7.9229621441E-01
-4.1708E-02,7.4595283166E-01
-4.1703E-02,7.9678294679E-01
-4.1697E-02,8.3521939689E-01
-4.1692E-02,8.0550324918E-01
-4.1687E-02,8.9300479218E-01
-4.1682E-02,1.0080362227E+00
-4.1677E-02,1.0174028111E+00
-4.1672E-02,1.0690513314E+00
-4.1667E-02,1.0461881155E+00
-4.1662E-02,1.0894701274E+00
-4.1657E-02,1.0904816325E+00
-4.1651E-02,1.1195982052E+00
-4.1646E-02,1.1910896740E+00
-4.1641E-02,1.0796121488E+00
-4.1636E-02,1.0898618396E+00
-4.1631E-02,1.1591398685E+00
-4.1626E-02,1.0850984082E+00
-4.1621E-02,1.0714174927E+00
-4.1616E-02,1.1315005373E+00
-4.1610E-02,1.1166608121E+00
-4.1605E-02,1.1037155228E+00
-4.1600E-02,1.0649358262E+00
-4.1595E-02,1.0283467768E+00
-4.1590E-02,9.6141747604E-01
