[s],CH2[V]
-4.3295E-02,1.4640032389E-02
-4.3290E-02,1.6395584642E-02
-4.3285E-02,1.5829464507E-02
-4.3280E-02,1.3831373807E-02
-4.3274E-02,1.4866901967E-02
-4.3269E-02,1.2548338558E-02
-4.3264E-02,1.4584976772E-02
-4.3259E-02,1.5142752257E-02
-4.3254E-02,1.6093765801E-02
-4.3249E-02,1.4669863321E-02
-4.3244E-02,1.4408957107E-02
-4.3239E-02,1.3520399693E-02
-4.3233E-02,1.3344189294E-02
-4.3228E-02,1.4085938087E-02
-4.3223E-02,1.2410494475E-02
-4.3218E-02,1.4898869129E-02
-4.3213E-02,1.2394835143E-02
-4.3208E-02,1.6134420936E-02
-4.3203E-02,1.3797394392E-02
-4.3198E-02,1.4576307873E-02
-4.3192E-02,1.3739229797E-02
-4.3187E-02,1.4980913729E-02
-4.3182E-02,1.5077559082E-02
-4.3177E-02,1.7488123451E-02
-4.3172E-02,1.5182453718E-02
-4.3167E-02,1.2747303626E-02
-4.3162E-02,1.6776377251E-02
-4.3157E-02,1.5298763835E-02
-4.3152E-02,1.7296911755E-02
-4.3146E-02,1.5323063456E-02
-4.3141E-02,1.3954311961E-02
-4.3136E-02,1.4262510883E-02
-4.3131E-02,1.5125881759E-02
-4.3126E-02,1.4653269388E-02
-4.3121E-02,1.4669663049E-02
-4.3116E-02,1.4101044288E-02
-4.3111E-02,1.6000753947E-02
-4.3105E-02,1.4983450503E-02
-4.3100E-02,1.4696632958E-02
-4.3095E-02,1.5554958897E-02
-4.3090E-02,1.3495527867E-02
-4.3085E-02,1.4822918509E-02
-4.3080E-02,1.4819952581E-02
-4.3075E-02,1.4404217346E-02
-4.3070E-02,1.5372225366E-02
-4.3064E-02,1.6178299490E-02
-4.3059E-02,1.6211659017E-02
-4.3054E-02,1.5630556659E-02
-4.3049E-02,1.8470379364E-02
-4.3044E-02,1.5970951625E-02
-4.3039E-02,1.5847202848E-02
-4.3034E-02,1.4367319688E-02
-4.3029E-02,1.8502222549E-02
-4.3024E-02,1.7290302792E-02
-4.3018E-02,1.4421078308E-02
-4.3013E-02,1.6977621601E-02
-4.3008E-02,1.6979567096E-02
-4.3003E-02,1.7139679474E-02
-4.2998E-02,1.2600466395E-02
-4.2993E-02,1.5524584371E-02
-4.2988E-02,1.6285168232E-02
-4.2983E-02,1.7871433760E-02
-4.2977E-02,1.4063974968E-02
-4.2972E-02,1.7279211560E-02
-4.2967E-02,1.4927898975E-02
-4.2962E-02,1.6076799935E-02
-4.2957E-02,1.6374355852E-02
-4.2952E-02,1.5920740673E-02
-4.2947E-02,1.6259686055E-02
-4.2942E-02,1.7623507054E-02
-4.2936E-02,1.5032765000E-02
-4.2931E-02,1.5403706154E-02
-4.2926E-02,1.7992340587E-02
-4.2921E-02,1.4350782975E-02
-4.2916E-02,1.3178736340E-02
-4.2911E-02,1.6841608573E-02
-4.2906E-02,1.7194372694E-02
-4.2901E-02,1.5416285118E-02
-4.2896E-02,1.5350119196E-02
-4.2890E-02,1.6556097562E-02
-4.2885E-02,1.7496239219E-02
-4.2880E-02,1.5631319598E-02
-4.2875E-02,1.4676395990E-02
-4.2870E-02,1.5595404224E-02
-4.2865E-02,1.5987621852E-02
-4.2860E-02,1.5732237412E-02
-4.2855E-02,1.5941769192E-02
-4.2849E-02,1.6488234099E-02
-4.2844E-02,1.6011740275E-02
-4.2839E-02,1.6529375608E-02
-4.2834E-02,1.3841005918E-02
-4.2829E-02,1.5797897887E-02
-4.2824E-02,1.3690067887E-02
-4.2819E-02,1.5781447006E-02
-4.2814E-02,1.5084950058E-02
-4.2808E-02,1.4910570713E-02
-4.2803E-02,1.5769478393E-02
-4.2798E-02,1.4840094183E-02
-4.2793E-02,1.6827951957E-02
-4.2788E-02,1.4812532995E-02
-4.2783E-02,1.8890739920E-02
-4.2778E-02,1.4073912254E-02
-4.2773E-02,1.6217581334E-02
-4.2768E-02,1.6112019127E-02
-4.2762E-02,1.6200501028E-02
-4.2757E-02,1.7473207985E-02
-4.2752E-02,1.6811024238E-02
-4.2747E-02,1.8166920204E-02
-4.2742E-02,2.0285145254E-02
-4.2737E-02,1.7327724971E-02
