[s],CH2[V]
-2.9995E-02,4.2870247732E-02
-2.9990E-02,4.0389779038E-02
-2.9985E-02,4.2518685240E-02
-2.9980E-02,4.2010872751E-02
-2.9974E-02,3.9061654067E-02
-2.9969E-02,3.8573372828E-02
-2.9964E-02,4.1561654011E-02
-2.9959E-02,4.1678841509E-02
-2.9954E-02,4.3065560228E-02
-2.9949E-02,4.3729622713E-02
-2.9944E-02,4.2323372744E-02
-2.9939E-02,4.3592903966E-02
-2.9933E-02,4.5135872682E-02
-2.9928E-02,4.5682747669E-02
-2.9923E-02,4.7147591387E-02
-2.9918E-02,4.4413216448E-02
-2.9913E-02,4.7342903882E-02
-2.9908E-02,4.6366341404E-02
-2.9903E-02,4.8085091366E-02
-2.9898E-02,4.8124153865E-02
-2.9892E-02,4.8182747613E-02
-2.9887E-02,5.0663216308E-02
-2.9882E-02,4.9842903826E-02
-2.9877E-02,5.1229622545E-02
-2.9872E-02,5.2596810015E-02
-2.9867E-02,5.1131966298E-02
-2.9862E-02,5.4471809973E-02
-2.9857E-02,5.4042122482E-02
-2.9852E-02,5.4022591233E-02
-2.9846E-02,5.4315559976E-02
-2.9841E-02,5.6268684933E-02
-2.9836E-02,5.7010872416E-02
-2.9831E-02,5.7049934915E-02
-2.9826E-02,5.7499153655E-02
-2.9821E-02,5.5702278695E-02
-2.9816E-02,5.4081184982E-02
-2.9811E-02,5.4237434978E-02
-2.9805E-02,5.4432747474E-02
-2.9800E-02,5.1210091296E-02
-2.9795E-02,5.1307747544E-02
-2.9790E-02,5.0155403819E-02
-2.9785E-02,5.0174935069E-02
-2.9780E-02,4.9256966339E-02
-2.9775E-02,5.0799935055E-02
-2.9770E-02,4.8475716357E-02
-2.9764E-02,5.0135872570E-02
-2.9759E-02,4.8202278863E-02
-2.9754E-02,4.8378060109E-02
-2.9749E-02,4.9530403833E-02
-2.9744E-02,4.7225716385E-02
-2.9739E-02,4.9354622587E-02
-2.9734E-02,4.9725716329E-02
-2.9729E-02,4.9315560088E-02
-2.9724E-02,5.1053841299E-02
-2.9718E-02,5.0917122552E-02
-2.9713E-02,5.0077278821E-02
-2.9708E-02,4.8729622601E-02
-2.9703E-02,5.1092903798E-02
-2.9698E-02,5.1542122538E-02
-2.9693E-02,5.1835091282E-02
-2.9688E-02,5.2186653774E-02
-2.9683E-02,5.2108528776E-02
-2.9677E-02,5.2323372521E-02
-2.9672E-02,5.2264778772E-02
-2.9667E-02,5.5370247453E-02
-2.9662E-02,5.6620247425E-02
-2.9657E-02,5.7655403652E-02
-2.9652E-02,5.6698372423E-02
-2.9647E-02,5.7225716161E-02
-2.9642E-02,5.6092903687E-02
-2.9636E-02,5.5233528706E-02
-2.9631E-02,5.6385872430E-02
-2.9626E-02,5.4979622462E-02
-2.9621E-02,5.5995247439E-02
-2.9616E-02,5.3924934985E-02
-2.9611E-02,5.5975716189E-02
-2.9606E-02,5.4881966214E-02
-2.9601E-02,5.6014778688E-02
-2.9596E-02,5.7811653648E-02
-2.9590E-02,5.7264778660E-02
-2.9585E-02,5.9706184856E-02
-2.9580E-02,5.7616341153E-02
-2.9575E-02,5.8768684877E-02
-2.9570E-02,5.3592903743E-02
-2.9565E-02,5.4256966228E-02
-2.9560E-02,5.8378059886E-02
-2.9555E-02,5.3182747502E-02
-2.9549E-02,5.3026497505E-02
-2.9544E-02,4.8221810113E-02
-2.9539E-02,5.2421028769E-02
-2.9534E-02,5.2362435020E-02
-2.9529E-02,4.8553841355E-02
-2.9524E-02,5.3866341236E-02
-2.9519E-02,5.0956185051E-02
-2.9514E-02,5.0409310064E-02
