[s],CH2[V]
-3.9395E-02,4.3272596294E-02
-3.9390E-02,4.3454042365E-02
-3.9385E-02,4.3515582967E-02
-3.9380E-02,4.3831687849E-02
-3.9374E-02,4.4279914768E-02
-3.9369E-02,4.4745679757E-02
-3.9364E-02,4.3614784167E-02
-3.9359E-02,4.4268804462E-02
-3.9354E-02,4.5384841806E-02
-3.9349E-02,4.3843179624E-02
-3.9344E-02,4.4211793813E-02
-3.9339E-02,4.3217664654E-02
-3.9333E-02,4.4519906904E-02
-3.9328E-02,4.4750858208E-02
-3.9323E-02,4.3849578779E-02
-3.9318E-02,4.4947496311E-02
-3.9313E-02,4.5075059785E-02
-3.9308E-02,4.4541126157E-02
-3.9303E-02,4.4775253197E-02
-3.9298E-02,4.4526849653E-02
-3.9292E-02,4.5050836458E-02
-3.9287E-02,4.5257421384E-02
-3.9282E-02,4.4367490678E-02
-3.9277E-02,4.4682947062E-02
-3.9272E-02,4.5083003892E-02
-3.9267E-02,4.4880481618E-02
-3.9262E-02,4.4392114549E-02
-3.9257E-02,4.4687972925E-02
-3.9252E-02,4.5465179329E-02
-3.9246E-02,4.4569126035E-02
-3.9241E-02,4.4010053553E-02
-3.9236E-02,4.6128240456E-02
-3.9231E-02,4.3572412419E-02
-3.9226E-02,4.4057975686E-02
-3.9221E-02,4.5820308563E-02
-3.9216E-02,4.4801193138E-02
-3.9211E-02,4.3620096133E-02
-3.9205E-02,4.4035917199E-02
-3.9200E-02,4.4296489627E-02
-3.9195E-02,4.4512630369E-02
-3.9190E-02,4.5374351389E-02
-3.9185E-02,4.5483318214E-02
-3.9180E-02,4.4443756012E-02
-3.9175E-02,4.4064603722E-02
-3.9170E-02,4.3707862779E-02
-3.9164E-02,4.4844213385E-02
-3.9159E-02,4.3884626309E-02
-3.9154E-02,4.4133001243E-02
-3.9149E-02,4.4410367875E-02
-3.9144E-02,4.3983970561E-02
-3.9139E-02,4.5215745817E-02
-3.9134E-02,4.3964162745E-02
-3.9129E-02,4.3597284244E-02
-3.9124E-02,4.4119544898E-02
-3.9118E-02,4.3255086834E-02
-3.9113E-02,4.3939567485E-02
-3.9108E-02,4.2447534514E-02
-3.9103E-02,4.2849861089E-02
-3.9098E-02,4.2751890129E-02
-3.9093E-02,4.4021688379E-02
-3.9088E-02,4.2988677919E-02
-3.9083E-02,4.2749677604E-02
-3.9077E-02,4.4020114816E-02
-3.9072E-02,4.2627683588E-02
-3.9067E-02,4.2950225772E-02
-3.9062E-02,4.2201486546E-02
-3.9057E-02,4.2246652560E-02
-3.9052E-02,4.2104021033E-02
-3.9047E-02,4.1740880935E-02
-3.9042E-02,4.2771869605E-02
-3.9036E-02,4.1379762626E-02
-3.9031E-02,4.2529388379E-02
-3.9026E-02,4.1284595468E-02
-3.9021E-02,4.1461959814E-02
-3.9016E-02,4.0713907233E-02
-3.9011E-02,4.1880536999E-02
-3.9006E-02,4.0948558794E-02
-3.9001E-02,4.1108451826E-02
-3.8996E-02,4.1661592454E-02
-3.8990E-02,4.1413408255E-02
-3.8985E-02,4.1252180079E-02
-3.8980E-02,4.2190099675E-02
-3.8975E-02,4.0684553139E-02
-3.8970E-02,4.1547914478E-02
-3.8965E-02,4.1047492965E-02
-3.8960E-02,4.1186004620E-02
-3.8955E-02,4.1329771020E-02
-3.8949E-02,4.1365085579E-02
-3.8944E-02,4.1171413403E-02
-3.8939E-02,4.1565032932E-02
-3.8934E-02,4.0496812817E-02
-3.8929E-02,4.1338716485E-02
-3.8924E-02,4.1400505042E-02
-3.8919E-02,4.0828958500E-02
-3.8914E-02,4.0253902437E-02
-3.8908E-02,3.9984432228E-02
-3.8903E-02,4.0844303120E-02
-3.8898E-02,4.0308376313E-02
-3.8893E-02,4.1271606424E-02
-3.8888E-02,3.9823232662E-02
-3.8883E-02,4.0744319907E-02
-3.8878E-02,4.1844602551E-02
-3.8873E-02,3.9698558822E-02
-3.8868E-02,3.9843221675E-02
-3.8862E-02,3.9063020735E-02
-3.8857E-02,4.0432678221E-02
-3.8852E-02,4.0640913003E-02
-3.8847E-02,3.8613945046E-02
-3.8842E-02,4.0295387269E-02
-3.8837E-02,4.0123821263E-02
-3.8832E-02,3.8236137437E-02
-3.8827E-02,3.9287782693E-02
-3.8821E-02,4.0010486610E-02
-3.8816E-02,3.9327960991E-02
