[s],CH2[V]
-4.3295E-02,6.8027546212E-02
-4.3290E-02,7.0901767949E-02
-4.3285E-02,6.4949924820E-02
-4.3280E-02,6.9084961197E-02
-4.3274E-02,6.6488563855E-02
-4.3269E-02,7.0113212822E-02
-4.3264E-02,6.8275959292E-02
-4.3259E-02,6.6007873863E-02
-4.3254E-02,7.1791641434E-02
-4.3249E-02,6.7656051927E-02
-4.3244E-02,6.9551365147E-02
-4.3239E-02,6.9161846418E-02
-4.3233E-02,6.5712921477E-02
-4.3228E-02,6.0528957817E-02
-4.3223E-02,6.2781574649E-02
-4.3218E-02,6.3552486802E-02
-4.3213E-02,6.5799991940E-02
-4.3208E-02,6.9569198857E-02
-4.3203E-02,6.9850361112E-02
-4.3198E-02,6.0937778914E-02
-4.3192E-02,6.0246727446E-02
-4.3187E-02,6.3869678873E-02
-4.3182E-02,6.4585964562E-02
-4.3177E-02,6.1946556510E-02
-4.3172E-02,5.9948036657E-02
-4.3167E-02,5.7159035255E-02
-4.3162E-02,5.9987156377E-02
-4.3157E-02,6.2908546845E-02
-4.3152E-02,6.3754169842E-02
-4.3146E-02,6.5803177212E-02
-4.3141E-02,6.5825950954E-02
-4.3136E-02,6.2958252349E-02
-4.3131E-02,5.4890072445E-02
-4.3126E-02,5.3877747181E-02
-4.3121E-02,5.6514599386E-02
-4.3116E-02,5.8981525906E-02
-4.3111E-02,6.2864773195E-02
-4.3105E-02,6.0991508924E-02
-4.3100E-02,6.5150158275E-02
-4.3095E-02,5.7829754386E-02
-4.3090E-02,6.2924854675E-02
-4.3085E-02,5.7527077239E-02
-4.3080E-02,6.0298988798E-02
-4.3075E-02,5.2601025255E-02
-4.3070E-02,6.1044037304E-02
-4.3064E-02,5.4575169193E-02
-4.3059E-02,5.7965557606E-02
-4.3054E-02,5.9942848669E-02
-4.3049E-02,5.8378937266E-02
-4.3044E-02,5.7765953576E-02
-4.3039E-02,4.9425480587E-02
-4.3034E-02,5.0831577968E-02
-4.3029E-02,5.1782543828E-02
-4.3024E-02,5.2213661830E-02
-4.3018E-02,5.1433174787E-02
-4.3013E-02,5.6656868518E-02
-4.3008E-02,5.0837567043E-02
-4.3003E-02,5.2330448784E-02
-4.2998E-02,5.2701752334E-02
-4.2993E-02,5.1518795665E-02
-4.2988E-02,5.0517590243E-02
-4.2983E-02,4.8550198319E-02
-4.2977E-02,5.6779949722E-02
-4.2972E-02,4.9979126663E-02
-4.2967E-02,5.4530308354E-02
-4.2962E-02,5.4824764830E-02
-4.2957E-02,5.5644600474E-02
-4.2952E-02,5.4687244996E-02
-4.2947E-02,5.1229431811E-02
-4.2942E-02,5.3727886802E-02
-4.2936E-02,5.3995964647E-02
-4.2931E-02,5.6247475216E-02
-4.2926E-02,5.2709534316E-02
-4.2921E-02,4.7582257057E-02
-4.2916E-02,5.2095062895E-02
-4.2911E-02,4.9965088577E-02
-4.2906E-02,4.4508908126E-02
-4.2901E-02,4.8958084815E-02
-4.2896E-02,4.9528382044E-02
-4.2890E-02,5.5236237141E-02
-4.2885E-02,4.7233670028E-02
-4.2880E-02,4.8584587814E-02
-4.2875E-02,4.4340298511E-02
-4.2870E-02,5.1116097157E-02
-4.2865E-02,5.0199883188E-02
-4.2860E-02,5.2739136367E-02
-4.2855E-02,5.3726513511E-02
-4.2849E-02,5.3028404854E-02
-4.2844E-02,5.0446999272E-02
-4.2839E-02,5.1856663394E-02
-4.2834E-02,4.8564999344E-02
-4.2829E-02,4.8905728097E-02
-4.2824E-02,4.5323784665E-02
-4.2819E-02,4.8561318162E-02
-4.2814E-02,4.9304821716E-02
-4.2808E-02,4.9177639712E-02
-4.2803E-02,4.8790295360E-02
-4.2798E-02,5.3248016970E-02
-4.2793E-02,4.8571446183E-02
-4.2788E-02,4.3493321296E-02
-4.2783E-02,5.1423618970E-02
-4.2778E-02,5.1575138742E-02
-4.2773E-02,4.7851193208E-02
-4.2768E-02,5.0854180049E-02
-4.2762E-02,4.8069412960E-02
-4.2757E-02,5.4133484480E-02
-4.2752E-02,5.1559250529E-02
-4.2747E-02,5.5220520588E-02
-4.2742E-02,4.9335453734E-02
-4.2737E-02,5.3049652717E-02
-4.2732E-02,5.3542778622E-02
-4.2727E-02,5.1471569714E-02
-4.2721E-02,4.9186909426E-02
-4.2716E-02,5.2905457164E-02
-4.2711E-02,4.9429028256E-02
-4.2706E-02,4.4361660815E-02
-4.2701E-02,5.2698967605E-02
-4.2696E-02,5.2551968249E-02
-4.2691E-02,4.7338192731E-02
-4.2686E-02,5.2464382802E-02
-4.2680E-02,5.1232788744E-02
-4.2675E-02,5.3541157375E-02
-4.2670E-02,5.0504830081E-02
-4.2665E-02,4.9495995265E-02
-4.2660E-02,5.4896442990E-02
-4.2655E-02,5.4352219216E-02
-4.2650E-02,5.2008564636E-02
-4.2645E-02,5.1177036945E-02
-4.2640E-02,5.7511169951E-02
-4.2634E-02,5.2040913268E-02
-4.2629E-02,5.6587288441E-02
-4.2624E-02,5.6859142836E-02
-4.2619E-02,5.2833111432E-02
-4.2614E-02,5.7531712096E-02
-4.2609E-02,5.1426689802E-02
-4.2604E-02,5.2379334129E-02
-4.2599E-02,5.2688572555E-02
-4.2593E-02,5.2080166502E-02
-4.2588E-02,4.9762833333E-02
-4.2583E-02,5.7866566214E-02
-4.2578E-02,5.0928776452E-02
-4.2573E-02,5.8053715258E-02
-4.2568E-02,5.0965550133E-02
-4.2563E-02,5.6845829543E-02
-4.2558E-02,5.5176556203E-02
-4.2552E-02,5.3895199421E-02
-4.2547E-02,5.0670960143E-02
-4.2542E-02,5.4115059493E-02
-4.2537E-02,5.8957073697E-02
-4.2532E-02,5.4612858401E-02
-4.2527E-02,5.7416298432E-02
-4.2522E-02,6.1709358639E-02
-4.2517E-02,5.2173493069E-02
-4.2512E-02,5.9356129169E-02
-4.2506E-02,5.3351128235E-02
-4.2501E-02,5.5404388993E-02
-4.2496E-02,5.1636059456E-02
-4.2491E-02,5.3846981648E-02
-4.2486E-02,5.8339455150E-02
-4.2481E-02,6.0017654881E-02
-4.2476E-02,6.1962559165E-02
-4.2471E-02,5.6368992395E-02
-4.2465E-02,5.7082378915E-02
-4.2460E-02,5.7845623527E-02
-4.2455E-02,6.1807510798E-02
-4.2450E-02,6.4143326175E-02
-4.2445E-02,5.5862248022E-02
-4.2440E-02,6.3623115921E-02
-4.2435E-02,6.8903744007E-02
-4.2430E-02,6.6812851262E-02
-4.2424E-02,5.1748535803E-02
-4.2419E-02,6.9348881021E-02
-4.2414E-02,6.7505237874E-02
-4.2409E-02,6.3829929728E-02
-4.2404E-02,6.1393463566E-02
-4.2399E-02,5.7888443502E-02
-4.2394E-02,6.1667931028E-02
-4.2389E-02,8.7026855327E-02
-4.2384E-02,5.8884937773E-02
-4.2378E-02,5.3150608678E-02
-4.2373E-02,6.8887569691E-02
-4.2368E-02,5.6629517139E-02
-4.2363E-02,6.7666694932E-02
-4.2358E-02,6.2712089940E-02
-4.2353E-02,5.7231590795E-02
-4.2348E-02,6.5019523971E-02
-4.2343E-02,7.1680652819E-02
-4.2337E-02,6.9406044258E-02
-4.2332E-02,5.6190922331E-02
-4.2327E-02,7.4492008347E-02
-4.2322E-02,6.9723541505E-02
-4.2317E-02,6.5820000027E-02
-4.2312E-02,7.2897712881E-02
-4.2307E-02,7.7385379865E-02
-4.2302E-02,7.3480922860E-02
-4.2297E-02,6.6822483372E-02
-4.2291E-02,8.3200809422E-02
-4.2286E-02,8.2584831195E-02
-4.2281E-02,7.4503719468E-02
-4.2276E-02,6.9701320893E-02
-4.2271E-02,7.3547031562E-02
-4.2266E-02,6.7306682885E-02
-4.2261E-02,6.8349144257E-02
-4.2256E-02,7.4659568921E-02
-4.2250E-02,7.1462299553E-02
