[s],CH2[V]
-2.9995E-02,3.0448373010E-02
-2.9990E-02,3.2753060458E-02
-2.9985E-02,3.0116341767E-02
-2.9980E-02,2.8924935544E-02
-2.9974E-02,3.1639779233E-02
-2.9969E-02,3.2049935474E-02
-2.9964E-02,3.4647591666E-02
-2.9959E-02,3.6210091631E-02
-2.9954E-02,2.9335091785E-02
-2.9949E-02,3.3124154200E-02
-2.9944E-02,3.0116341767E-02
-2.9939E-02,3.3924935432E-02
-2.9933E-02,3.2381966717E-02
-2.9928E-02,3.3553841690E-02
-2.9923E-02,3.0858529251E-02
-2.9918E-02,3.2713997959E-02
-2.9913E-02,3.0096810518E-02
-2.9908E-02,3.0467904259E-02
-2.9903E-02,3.3182747949E-02
-2.9898E-02,3.0858529251E-02
-2.9892E-02,3.3944466682E-02
-2.9887E-02,3.2421029216E-02
-2.9882E-02,3.1620247984E-02
-2.9877E-02,3.2792122957E-02
-2.9872E-02,3.2753060458E-02
-2.9867E-02,3.0878060500E-02
-2.9862E-02,2.5858529362E-02
-2.9857E-02,3.2381966717E-02
-2.9852E-02,3.2010872975E-02
-2.9846E-02,3.3202279198E-02
-2.9841E-02,3.0077279268E-02
-2.9836E-02,2.7049935586E-02
-2.9831E-02,3.0858529251E-02
-2.9826E-02,3.4706185415E-02
-2.9821E-02,2.8944466793E-02
-2.9816E-02,3.3534310441E-02
-2.9811E-02,3.0858529251E-02
-2.9805E-02,3.3534310441E-02
-2.9800E-02,2.7381966828E-02
-2.9795E-02,3.2381966717E-02
-2.9790E-02,2.7831185568E-02
-2.9785E-02,2.8143685561E-02
-2.9780E-02,3.4276497924E-02
-2.9775E-02,2.9335091785E-02
-2.9770E-02,2.7049935586E-02
-2.9764E-02,3.3885872933E-02
-2.9759E-02,2.9354623034E-02
-2.9754E-02,3.0838998001E-02
-2.9749E-02,3.3924935432E-02
-2.9744E-02,3.2069466724E-02
-2.9739E-02,3.0096810518E-02
-2.9734E-02,3.3163216699E-02
-2.9729E-02,3.1620247984E-02
-2.9724E-02,3.0096810518E-02
-2.9718E-02,2.8924935544E-02
-2.9713E-02,3.2010872975E-02
-2.9708E-02,3.0819466752E-02
-2.9703E-02,3.2753060458E-02
-2.9698E-02,3.0096810518E-02
-2.9693E-02,3.2440560465E-02
-2.9688E-02,2.9706185526E-02
-2.9683E-02,2.5917123111E-02
-2.9677E-02,3.1991341725E-02
-2.9672E-02,3.1620247984E-02
-2.9667E-02,3.1620247984E-02
-2.9662E-02,3.3163216699E-02
-2.9657E-02,2.9706185526E-02
-2.9652E-02,2.7049935586E-02
-2.9647E-02,3.4296029174E-02
-2.9642E-02,2.8924935544E-02
-2.9636E-02,3.0096810518E-02
-2.9631E-02,3.2421029216E-02
-2.9626E-02,3.0878060500E-02
-2.9621E-02,3.2753060458E-02
-2.9616E-02,3.3573372940E-02
-2.9611E-02,3.3963997931E-02
-2.9606E-02,3.1659310483E-02
-2.9601E-02,3.0487435509E-02
-2.9596E-02,2.7811654319E-02
-2.9590E-02,2.6678841844E-02
-2.9585E-02,3.2362435467E-02
-2.9580E-02,2.9315560535E-02
-2.9575E-02,3.1268685492E-02
-2.9570E-02,3.3163216699E-02
-2.9565E-02,2.9745248026E-02
-2.9560E-02,3.4706185415E-02
-2.9555E-02,2.8124154312E-02
-2.9549E-02,3.5487435397E-02
-2.9544E-02,3.1659310483E-02
-2.9539E-02,3.0448373010E-02
-2.9534E-02,3.2401497966E-02
-2.9529E-02,3.1991341725E-02
-2.9524E-02,2.8963998043E-02
-2.9519E-02,3.2421029216E-02
-2.9514E-02,3.4296029174E-02
-2.9508E-02,3.2772591708E-02
-2.9503E-02,3.0096810518E-02
-2.9498E-02,3.0838998001E-02
-2.9493E-02,3.1229622992E-02
-2.9488E-02,3.0467904259E-02
-2.9483E-02,3.1620247984E-02
-2.9478E-02,2.9315560535E-02
-2.9473E-02,3.0858529251E-02
-2.9468E-02,3.3163216699E-02
-2.9462E-02,3.2381966717E-02
-2.9457E-02,3.1288216741E-02
-2.9452E-02,2.8163216811E-02
-2.9447E-02,3.0116341767E-02
-2.9442E-02,3.0487435509E-02
-2.9437E-02,2.6639779345E-02
-2.9432E-02,3.2381966717E-02
-2.9427E-02,3.2792122957E-02
-2.9421E-02,3.0467904259E-02
-2.9416E-02,2.8202279310E-02
-2.9411E-02,3.2342904218E-02
-2.9406E-02,3.4296029174E-02
-2.9401E-02,3.4667122916E-02
-2.9396E-02,2.7440560577E-02
-2.9391E-02,2.9647591778E-02
-2.9386E-02,2.9745248026E-02
-2.9380E-02,3.0487435509E-02
-2.9375E-02,3.1249154242E-02
-2.9370E-02,2.8534310553E-02
-2.9365E-02,3.3143685450E-02
-2.9360E-02,3.0428841760E-02
-2.9355E-02,3.2049935474E-02
-2.9350E-02,3.3553841690E-02
-2.9345E-02,3.0096810518E-02
-2.9340E-02,3.1229622992E-02
-2.9334E-02,2.9706185526E-02
-2.9329E-02,2.7831185568E-02
-2.9324E-02,3.0077279268E-02
-2.9319E-02,2.8905404294E-02
-2.9314E-02,2.5956185610E-02
-2.9309E-02,2.8163216811E-02
-2.9304E-02,2.9354623034E-02
-2.9299E-02,3.0819466752E-02
-2.9293E-02,3.3534310441E-02
-2.9288E-02,3.1659310483E-02
-2.9283E-02,3.2772591708E-02
-2.9278E-02,3.1249154242E-02
-2.9273E-02,2.8182748060E-02
-2.9268E-02,3.1229622992E-02
-2.9263E-02,2.9296029286E-02
-2.9258E-02,3.2440560465E-02
-2.9252E-02,3.0878060500E-02
-2.9247E-02,3.0838998001E-02
-2.9242E-02,3.1678841732E-02
-2.9237E-02,2.8573373052E-02
-2.9232E-02,3.5057747907E-02
-2.9227E-02,2.9745248026E-02
-2.9222E-02,3.3182747949E-02
-2.9217E-02,3.1229622992E-02
-2.9212E-02,2.8944466793E-02
-2.9206E-02,3.0467904259E-02
-2.9201E-02,3.2010872975E-02
-2.9196E-02,3.0096810518E-02
-2.9191E-02,3.4296029174E-02
-2.9186E-02,3.2401497966E-02
-2.9181E-02,2.9725716776E-02
-2.9176E-02,3.0467904259E-02
-2.9171E-02,3.0467904259E-02
-2.9165E-02,3.1229622992E-02
-2.9160E-02,3.0448373010E-02
-2.9155E-02,3.0467904259E-02
-2.9150E-02,3.0819466752E-02
-2.9145E-02,3.2421029216E-02
-2.9140E-02,3.6971810364E-02
-2.9135E-02,3.3104622950E-02
-2.9130E-02,3.6268685380E-02
-2.9124E-02,3.3104622950E-02
-2.9119E-02,3.0878060500E-02
-2.9114E-02,3.1620247984E-02
-2.9109E-02,3.4354622923E-02
-2.9104E-02,3.3124154200E-02
-2.9099E-02,3.7401497854E-02
-2.9094E-02,4.1151497771E-02
-2.9089E-02,3.8104622839E-02
-2.9084E-02,4.0096810294E-02
-2.9078E-02,4.4217903952E-02
-2.9073E-02,5.1522591289E-02
-2.9068E-02,4.6542122650E-02
-2.9063E-02,5.3846809987E-02
-2.9058E-02,5.8788216126E-02
-2.9053E-02,6.2987434783E-02
-2.9048E-02,7.0253059620E-02
-2.9043E-02,7.0663215861E-02
-2.9037E-02,8.9745246684E-02
-2.9032E-02,9.1659309142E-02
-2.9027E-02,1.0812415252E-01
-2.9022E-02,1.3101477701E-01
-2.9017E-02,1.3949133932E-01
-2.9012E-02,1.4908118286E-01
-2.9007E-02,1.5861243265E-01
-2.9002E-02,1.8921790071E-01
-2.8997E-02,1.9222571314E-01
-2.8991E-02,2.0716711906E-01
-2.8986E-02,2.0945227526E-01
-2.8981E-02,2.2669836862E-01
-2.8976E-02,2.3927649334E-01
-2.8971E-02,2.6908118018E-01
-2.8966E-02,2.7564368003E-01
-2.8961E-02,2.8861242974E-01
-2.8956E-02,3.1382727293E-01
-2.8950E-02,3.0660071059E-01
-2.8945E-02,3.2121008526E-01
-2.8940E-02,3.4105383482E-01
-2.8935E-02,3.4671789719E-01
-2.8930E-02,3.6052649063E-01
-2.8925E-02,3.7007727167E-01
-2.8920E-02,3.8685461504E-01
-2.8915E-02,3.8081945893E-01
-2.8909E-02,4.0105383348E-01
-2.8904E-02,4.1017492702E-01
-2.8899E-02,4.2324133298E-01
-2.8894E-02,4.1251867697E-01
-2.8889E-02,4.1829992684E-01
-2.8884E-02,4.3626867644E-01
-2.8879E-02,4.2859289536E-01
-2.8874E-02,4.4005773885E-01
-2.8869E-02,4.3855383264E-01
-2.8863E-02,4.4771398868E-01
-2.8858E-02,4.6609289452E-01
-2.8853E-02,4.5269445732E-01
-2.8848E-02,4.6492101955E-01
-2.8843E-02,4.3974523886E-01
-2.8838E-02,4.5302648856E-01
-2.8833E-02,4.5236242608E-01
-2.8828E-02,4.6761633199E-01
-2.8822E-02,4.4656164496E-01
-2.8817E-02,4.2779211413E-01
-2.8812E-02,3.9228430242E-01
-2.8807E-02,3.6861242795E-01
-2.8802E-02,3.6398352180E-01
-2.8797E-02,3.2988196007E-01
-2.8792E-02,3.2113196026E-01
-2.8787E-02,2.8976477346E-01
-2.8781E-02,2.5726477419E-01
-2.8776E-02,2.5232336805E-01
-2.8771E-02,2.3204993100E-01
-2.8766E-02,2.0865149403E-01
-2.8761E-02,1.8646399452E-01
-2.8756E-02,1.6554602624E-01
-2.8751E-02,1.5361243276E-01
-2.8746E-02,1.3179602699E-01
-2.8741E-02,1.1771399606E-01
-2.8735E-02,9.8163215246E-02
-2.8730E-02,8.7069465494E-02
-2.8725E-02,8.4413215554E-02
-2.8720E-02,7.9042121924E-02
-2.8715E-02,7.2909309561E-02
-2.8710E-02,7.0194465871E-02
-2.8705E-02,7.2538215819E-02
-2.8700E-02,6.3397591023E-02
-2.8694E-02,5.9960091100E-02
-2.8689E-02,5.5819466193E-02
-2.8684E-02,5.4159309980E-02
-2.8679E-02,5.4569466221E-02
-2.8674E-02,5.2303841271E-02
-2.8669E-02,5.0624153809E-02
-2.8664E-02,5.0780403805E-02
-2.8659E-02,4.7713997624E-02
-2.8653E-02,4.8338997610E-02
-2.8648E-02,4.9706185079E-02
-2.8643E-02,4.9706185079E-02
-2.8638E-02,4.8417122608E-02
-2.8633E-02,5.0350716315E-02
-2.8628E-02,4.9237435090E-02
-2.8623E-02,4.6874153893E-02
-2.8618E-02,4.8768685100E-02
-2.8613E-02,4.9960091324E-02
-2.8607E-02,4.9960091324E-02
-2.8602E-02,4.9764778828E-02
-2.8597E-02,5.1171028797E-02
-2.8592E-02,5.0370247565E-02
-2.8587E-02,5.0018685072E-02
-2.8582E-02,5.0663216308E-02
-2.8577E-02,5.1210091296E-02
-2.8572E-02,5.0077278821E-02
-2.8566E-02,5.1014778800E-02
-2.8561E-02,5.2303841271E-02
-2.8556E-02,5.3358528748E-02
-2.8551E-02,5.3456184996E-02
-2.8546E-02,5.5741341195E-02
-2.8541E-02,5.4471809973E-02
-2.8536E-02,5.5331184954E-02
-2.8531E-02,5.3495247495E-02
-2.8525E-02,5.8046028643E-02
-2.8520E-02,5.6874153669E-02
-2.8515E-02,5.5702278695E-02
-2.8510E-02,5.7284309910E-02
-2.8505E-02,5.7596809903E-02
-2.8500E-02,5.9139778619E-02
-2.8495E-02,6.0331184842E-02
-2.8490E-02,5.7284309910E-02
-2.8485E-02,6.1463997317E-02
-2.8479E-02,5.9979622350E-02
-2.8474E-02,5.8475716133E-02
-2.8469E-02,5.8026497393E-02
-2.8464E-02,6.1503059816E-02
-2.8459E-02,5.9178841118E-02
-2.8454E-02,5.8749153627E-02
-2.8449E-02,6.0311653592E-02
-2.8444E-02,5.9588997359E-02
-2.8438E-02,6.3006966032E-02
-2.8433E-02,6.1815559809E-02
-2.8428E-02,6.2206184800E-02
-2.8423E-02,6.0682747334E-02
-2.8418E-02,5.8397591135E-02
-2.8413E-02,5.7596809903E-02
-2.8408E-02,5.8006966144E-02
-2.8403E-02,5.3788216238E-02
-2.8397E-02,5.9510872360E-02
-2.8392E-02,5.6893684919E-02
-2.8387E-02,5.5018684961E-02
-2.8382E-02,5.8378059886E-02
-2.8377E-02,5.4471809973E-02
-2.8372E-02,5.6405403680E-02
-2.8367E-02,5.5448372451E-02
-2.8362E-02,5.4237434978E-02
-2.8357E-02,5.5077278709E-02
-2.8351E-02,5.2694466263E-02
-2.8346E-02,5.5741341195E-02
-2.8341E-02,5.3846809987E-02
-2.8336E-02,5.7342903659E-02
-2.8331E-02,5.5018684961E-02
-2.8326E-02,5.4315559976E-02
-2.8321E-02,5.4706184968E-02
-2.8316E-02,5.4471809973E-02
-2.8310E-02,5.3905403736E-02
-2.8305E-02,5.1522591289E-02
-2.8300E-02,5.6503059927E-02
-2.8295E-02,5.5741341195E-02
-2.8290E-02,5.2811653760E-02
-2.8285E-02,5.3514778744E-02
-2.8280E-02,5.4432747474E-02
-2.8275E-02,5.4100716231E-02
-2.8269E-02,5.1112435048E-02
-2.8264E-02,5.6092903687E-02
-2.8259E-02,5.2967903757E-02
-2.8254E-02,5.3417122496E-02
-2.8249E-02,5.5467903701E-02
-2.8244E-02,5.5760872444E-02
-2.8239E-02,5.6952278667E-02
-2.8234E-02,5.4471809973E-02
-2.8229E-02,5.6503059927E-02
-2.8223E-02,5.3866341236E-02
-2.8218E-02,5.4061653732E-02
-2.8213E-02,5.2987435006E-02
-2.8208E-02,5.3846809987E-02
-2.8203E-02,5.3671028741E-02
-2.8198E-02,5.5799934943E-02
-2.8193E-02,5.4237434978E-02
-2.8188E-02,5.3710091240E-02
-2.8182E-02,5.0331185065E-02
-2.8177E-02,5.3944466235E-02
-2.8172E-02,5.2303841271E-02
-2.8167E-02,5.2694466263E-02
-2.8162E-02,5.3143685003E-02
-2.8157E-02,5.0741341306E-02
-2.8152E-02,5.1210091296E-02
-2.8147E-02,5.0643685058E-02
-2.8141E-02,4.9569466332E-02
-2.8136E-02,4.9686653830E-02
-2.8131E-02,5.0038216322E-02
-2.8126E-02,4.6932747641E-02
-2.8121E-02,5.1483528790E-02
-2.8116E-02,5.1249153795E-02
-2.8111E-02,5.0428841313E-02
-2.8106E-02,5.0350716315E-02
-2.8101E-02,4.8065560116E-02
-2.8095E-02,4.6151497659E-02
-2.8090E-02,4.9940560074E-02
-2.8085E-02,4.6893685142E-02
-2.8080E-02,4.6503060151E-02
-2.8075E-02,4.9706185079E-02
-2.8070E-02,4.8827278849E-02
-2.8065E-02,4.9588997582E-02
-2.8060E-02,4.6503060151E-02
-2.8054E-02,4.7674935125E-02
-2.8049E-02,4.5331185177E-02
-2.8044E-02,4.6874153893E-02
